County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County
Snohomish,Gold Bar,WA,98251,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,39,224101608,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053803,-121.69427,47.858175
King,Mercer Island,WA,98040,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,32,39995,41,477156767,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024601,-122.2371867,47.5822997
King,Kirkland,WA,98034,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,223955476,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903,-122.209285,47.71124
King,Covington,WA,98042,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,233334636,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031709,-122.111625,47.36078
Kitsap,Bremerton,WA,98312,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,35,145872506,PUGET SOUND ENERGY INC,53035080700,-122.65223,47.57192
Yakima,Zillah,WA,98953,2022,VOLVO,C40,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,15,205745963,PACIFICORP,53077002201,-120.26034,46.404935
King,Seattle,WA,98122,2022,RIVIAN,R1T,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,37,215002770,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800,-122.30839,47.610365
King,Bellevue,WA,98006,2016,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,200,0,41,132908338,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905,-122.16937,47.571015
King,Tukwila,WA,98188,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,228547735,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
King,Kent,WA,98042,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,47,3610078,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031707,-122.111625,47.36078
King,Des Moines,WA,98198,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,196586547,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028901,-122.3219166,47.4013897
King,Bellevue,WA,98006,2023,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,41,233534122,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902,-122.16937,47.571015
King,Woodinville,WA,98072,2022,NISSAN,LEAF,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,209388672,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906,-122.151665,47.75855
King,Redmond,WA,98052,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,156750121,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022802,-122.12302,47.67668
King,Seattle,WA,98103,2021,MINI,HARDTOP,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,110,0,46,133711616,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002700,-122.34301,47.659185
King,Redmond,WA,98053,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,45,286061534,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032327,-122.0222,47.69557
King,Seatac,WA,98148,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,199304017,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
King,Seattle,WA,98117,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,175293093,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702,-122.37276,47.689685
King,Bothell,WA,98011,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,232645255,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804,-122.20578,47.762405
King,Renton,WA,98058,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,223880968,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031908,-122.1298876,47.4451257
King,Covington,WA,98042,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,220742693,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031705,-122.111625,47.36078
King,Seatac,WA,98148,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,207186136,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
King,Seattle,WA,98125,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,46,478246527,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100,-122.296385,47.71558
King,Mercer Island,WA,98040,2016,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,41,161266822,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024301,-122.2371867,47.5822997
Clark,Vancouver,WA,98663,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,49,224009922,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041003,-122.666325,45.641205
Kitsap,Port Orchard,WA,98367,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,35,172371216,PUGET SOUND ENERGY INC,53035092902,-122.6851642,47.506453
Snohomish,Edmonds,WA,98020,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,21,131487583,PUGET SOUND ENERGY INC,53061050502,-122.37507,47.80807
Kitsap,Bainbridge Island,WA,98110,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,23,224496982,PUGET SOUND ENERGY INC,53035090800,-122.5235781,47.6293323
King,Kirkland,WA,98033,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,48,336626790,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501,-122.20264,47.6785
Kitsap,Bremerton,WA,98312,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,35,165731240,PUGET SOUND ENERGY INC,53035080700,-122.65223,47.57192
Thurston,Olympia,WA,98502,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,22,236609439,PUGET SOUND ENERGY INC,53067010600,-122.92145,47.045935
King,Seattle,WA,98103,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,36,8992784,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002800,-122.34301,47.659185
King,Sammamish,WA,98074,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,206953435,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216,-122.0313266,47.6285782
Cowlitz,Woodland,WA,98674,2022,FORD,TRANSIT,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,20,220151368,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015001503,-122.73125,45.923065
King,Seattle,WA,98121,2023,RIVIAN,R1S,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,239940088,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302,-122.344,47.615385
King,Bellevue,WA,98005,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,215131010,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701,-122.16085,47.624515
King,Seattle,WA,98101,2021,MINI,HARDTOP,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,110,0,43,131218237,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008200,-122.335345,47.61079
King,Seattle,WA,98112,2023,KIA,NIRO,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,228635557,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007600,-122.30764,47.62523
Clark,Washougal,WA,98671,2023,MINI,HARDTOP,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,14,213611884,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040510,-122.3538285,45.5838634
Island,Oak Harbor,WA,98277,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,10,477312496,PUGET SOUND ENERGY INC,53029970602,-122.6788673,48.2897314
King,Seattle,WA,98103,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,43,268130887,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003500,-122.34301,47.659185
King,Seattle,WA,98107,2020,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,149,0,43,137347948,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800,-122.37815,47.66866
King,Kent,WA,98042,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,221530032,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031800,-122.111625,47.36078
Spokane,Spokane,WA,99217,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,4,192291431,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010101,-117.35609,47.68401
King,Bothell,WA,98011,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,47,0,1,110069550,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022001,-122.20578,47.762405
King,Sammamish,WA,98075,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,156837838,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215,-122.03309,47.58153
Pierce,Puyallup,WA,98374,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,25,180043419,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071210,-122.275748,47.1395924
King,Seattle,WA,98106,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,35,0,34,230262413,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010800,-122.356145,47.52104
Clark,Vancouver,WA,98682,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,17,228025458,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040714,-122.5146473,45.67862
King,Seattle,WA,98112,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,172079652,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400,-122.30764,47.62523
Kitsap,Bainbridge Island,WA,98110,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,23,223470453,PUGET SOUND ENERGY INC,53035090901,-122.5235781,47.6293323
King,Seatac,WA,98148,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,203661391,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
Clark,Vancouver,WA,98665,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,34,0,49,213543354,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041005,-122.66592,45.678565
King,Kirkland,WA,98034,2023,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,229746632,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903,-122.209285,47.71124
King,Kirkland,WA,98033,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,169420674,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603,-122.20264,47.6785
Snohomish,Everett,WA,98203,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,38,211089945,PUGET SOUND ENERGY INC,53061041303,-122.213105,47.95479
King,Redmond,WA,98052,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,175266283,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324,-122.12302,47.67668
Island,Oak Harbor,WA,98277,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,10,226122669,PUGET SOUND ENERGY INC,53029970602,-122.6788673,48.2897314
King,Shoreline,WA,98133,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,32,231137763,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900,-122.34584,47.76726
King,Maple Valley,WA,98038,2023,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,5,239686765,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032011,-122.05191,47.357985
King,Woodinville,WA,98072,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,185460642,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906,-122.151665,47.75855
Pierce,Tacoma,WA,98443,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,28,0,25,190266933,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940004,-122.364635,47.19449
Kitsap,Port Orchard,WA,98366,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,259,0,26,147008242,PUGET SOUND ENERGY INC,53035092400,-122.639265,47.5373
King,Kirkland,WA,98033,2018,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,249,0,48,330901805,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603,-122.20264,47.6785
Whatcom,Ferndale,WA,98248,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,42,2822732,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010505,-122.6011039,48.85324
King,Seattle,WA,98146,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,34,213483322,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012100,-122.355145,47.505655
King,Redmond,WA,98053,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,45,125764831,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032332,-122.0222,47.69557
King,Bellevue,WA,98004,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,42,0,41,138090025,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023901,-122.201905,47.61385
Kitsap,Bremerton,WA,98337,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,26,305264998,PUGET SOUND ENERGY INC,53035081200,-122.635905,47.57097
Spokane,Spokane,WA,99224,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,6,182530981,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010403,-117.460225,47.64927
King,Redmond,WA,98052,2023,FORD,F-150,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,238812052,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321,-122.12302,47.67668
King,Seattle,WA,98136,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,34,104723762,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000,-122.388675,47.5415
King,Kent,WA,98042,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,216650927,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031704,-122.111625,47.36078
King,Tukwila,WA,98168,2022,FORD,TRANSIT,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,218040679,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027200,-122.28646,47.47613
King,Seattle,WA,98121,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,187333877,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003,-122.344,47.615385
Island,Coupeville,WA,98239,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,10,195184979,PUGET SOUND ENERGY INC,53029971100,-122.681275,48.21784
Pacific,Raymond,WA,98577,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,19,239472173,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,53049950400,-123.72855,46.686115
King,Seattle,WA,98107,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,221468516,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003301,-122.37815,47.66866
King,Seattle,WA,98103,2023,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,36,228342460,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800,-122.34301,47.659185
Chelan,Leavenworth,WA,98826,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,12,194496865,PUD NO 1 OF CHELAN COUNTY,53007960201,-120.6619153,47.5970083
Mason,Belfair,WA,98528,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,35,194569924,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960302,-122.8551647,47.4495785
King,Bellevue,WA,98005,2018,VOLVO,S90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,48,165128575,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023702,-122.16085,47.624515
King,Sammamish,WA,98074,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,45,156567099,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225,-122.0313266,47.6285782
King,Seattle,WA,98146,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,34,228870638,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000,-122.355145,47.505655
King,Seattle,WA,98126,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,34,207202635,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601,-122.374105,47.54468
King,Kirkland,WA,98034,2018,VOLVO,S90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,1,183296270,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022201,-122.209285,47.71124
King,Redmond,WA,98052,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,48,104756837,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902,-122.12302,47.67668
Thurston,Olympia,WA,98502,2022,KIA,EV6,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,22,193625043,PUGET SOUND ENERGY INC,53067010520,-122.92145,47.045935
Snohomish,Snohomish,WA,98296,2022,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,208324826,PUGET SOUND ENERGY INC,53061052122,-122.15134,47.8851158
King,Vashon,WA,98070,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,34,335909115,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701,-122.4586752,47.4484687
King,Sammamish,WA,98074,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,227287441,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216,-122.0313266,47.6285782
Clark,Vancouver,WA,98683,2020,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,289,0,18,1959394,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325,-122.4853873,45.6083347
Clark,Vancouver,WA,98683,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,17,52900,17,259388391,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041310,-122.4853873,45.6083347
Thurston,Olympia,WA,98502,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,35,221089473,NO KNOWN ELECTRIC UTILITY SERVICE,53067011902,-122.92145,47.045935
King,Redmond,WA,98052,2023,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,228058036,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321,-122.12302,47.67668
King,Shoreline,WA,98133,2017,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,32,136812182,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020302,-122.34584,47.76726
Kitsap,Poulsbo,WA,98370,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,23,196376547,PUGET SOUND ENERGY INC,53035091205,-122.64177,47.737525
King,Sammamish,WA,98075,2020,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,330,0,41,108817397,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215,-122.03309,47.58153
King,Seattle,WA,98178,2020,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,149,0,37,137299340,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902,-122.234385,47.494545
King,Kent,WA,98031,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,47,176199740,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405,-122.2012521,47.3931814
King,Kent,WA,98031,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,152340016,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029407,-122.2012521,47.3931814
King,Seattle,WA,98178,2022,KIA,EV6,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,37,213504994,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902,-122.234385,47.494545
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,11,239716557,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
King,Covington,WA,98042,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,308,0,47,110825396,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031705,-122.111625,47.36078
King,Seattle,WA,98105,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,46,195092194,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004201,-122.319115,47.66132
Benton,Kennewick,WA,99338,2016,KIA,SOUL,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,93,31950,8,145230949,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010815,-119.1973001,46.1911488
King,Snoqualmie,WA,98065,2020,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,5,134982130,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032605,-121.8740496,47.5345546
King,Issaquah,WA,98029,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,5,161266913,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220,-121.999595,47.547635
King,Issaquah,WA,98027,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,5,183400010,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104,-122.03644,47.53374
Kitsap,Bremerton,WA,98311,2023,NISSAN,ARIYA,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,23,236409995,PUGET SOUND ENERGY INC,53035091600,-122.6468815,47.6344364
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,11,237829315,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
King,Bellevue,WA,98005,2015,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,0,41,2563214,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604,-122.16085,47.624515
Clark,Vancouver,WA,98685,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,49,220359359,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040904,-122.70302,45.703706
King,Seattle,WA,98116,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,34,193823542,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701,-122.38816,47.56567
King,Bothell,WA,98011,2016,KIA,SOUL,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,93,31950,1,111000816,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022001,-122.20578,47.762405
