County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County
Snohomish,Monroe,WA,98272,2011,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,39,205140106,PUGET SOUND ENERGY INC,53061053801,-121.972215,47.85674
Snohomish,Edmonds,WA,98026,2015,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,32,343971526,PUGET SOUND ENERGY INC,53061050800,-122.335685,47.80372
Douglas,East Wenatchee,WA,98802,2019,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,12,298218728,PUD NO 1 OF DOUGLAS COUNTY,53017950600,-120.28674,47.4176
Snohomish,Bothell,WA,98012,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,44,203419310,PUGET SOUND ENERGY INC,53061052010,-122.1873,47.820245
Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,293,0,21,125869355,PUGET SOUND ENERGY INC,53061050502,-122.37507,47.80807
Kitsap,Port Orchard,WA,98367,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,35,241871066,PUGET SOUND ENERGY INC,53035092901,-122.6851642,47.506453
Kitsap,Bremerton,WA,98337,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,26,226603891,PUGET SOUND ENERGY INC,53035080500,-122.635905,47.57097
Thurston,Yelm,WA,98597,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,2,145792188,PUGET SOUND ENERGY INC,53067012422,-122.61023,46.94126
King,Kirkland,WA,98034,2019,AUDI,E-TRON,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,204,0,1,2352017,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203,-122.209285,47.71124
Snohomish,Lynnwood,WA,98087,2013,TOYOTA,RAV4,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,103,0,21,349783535,PUGET SOUND ENERGY INC,53061041816,-122.2559465,47.8656788
Yakima,Yakima,WA,98908,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,14,214566089,PACIFICORP,53077002801,-120.6027202,46.5965625
Skagit,Mount Vernon,WA,98274,2015,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,10,204042555,PUGET SOUND ENERGY INC,53057952700,-122.322955,48.4152
Grant,Moses Lake,WA,98837,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,13,255859096,PUD NO 2 OF GRANT COUNTY,53025010904,-119.2599876,47.1240154
Snohomish,Bothell,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,1,227627389,PUGET SOUND ENERGY INC,53061051922,-122.1873,47.820245
Snohomish,Bothell,WA,98021,2016,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,1,165583127,PUGET SOUND ENERGY INC,53061051914,-122.179458,47.802589
Douglas,East Wenatchee,WA,98802,2017,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,12,138837380,PUD NO 1 OF DOUGLAS COUNTY,53017950800,-120.28674,47.4176
Thurston,Olympia,WA,98506,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,22,172463350,PUGET SOUND ENERGY INC,53067010300,-122.8874781,47.0519573
King,Kent,WA,98042,2013,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,47,232554948,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031601,-122.111625,47.36078
Snohomish,Marysville,WA,98270,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,44,218456556,PUGET SOUND ENERGY INC,53061052710,-122.17673,48.05542
Thurston,Olympia,WA,98513,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,35,243812502,PUGET SOUND ENERGY INC,53067012610,-122.817545,46.98876
King,Kent,WA,98031,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,47,224736634,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029407,-122.2012521,47.3931814
Snohomish,Woodway,WA,98020,2018,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,32,277818397,PUGET SOUND ENERGY INC,53061050600,-122.37507,47.80807
Whitman,Pullman,WA,99163,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,16,0,9,203284161,AVISTA CORP,53075000201,-117.17912,46.730885
Kitsap,Bainbridge Island,WA,98110,2015,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,23,224802784,PUGET SOUND ENERGY INC,53035091002,-122.5235781,47.6293323
Kitsap,Bainbridge Island,WA,98110,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,23,192529032,PUGET SOUND ENERGY INC,53035090700,-122.5235781,47.6293323
Yakima,Yakima,WA,98902,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,14,239505276,PACIFICORP,53077000800,-120.524012,46.5973939
